"@id","State__@id","State__City__@id","State__City__Station__@id","State__City__Station__@lastupdate","State__City__Station__@latitude","State__City__Station__@longitude","State__City__Station__Pollutant_Index__@id","State__City__Station__Pollutant_Index__@Min","State__City__Station__Pollutant_Index__@Max","State__City__Station__Pollutant_Index__@Avg","State__City__Station__Air_Quality_Index__@Value","State__City__Station__Air_Quality_Index__@Predominant_Parameter"
"","","","","","","","NO2","16","136","58","",""
"","","","","","","","NH3","4","7","5","",""
"","","","","","","","SO2","4","72","13","",""
"","","","","","","","CO","23","108","31","",""
"","","","","","","","OZONE","3","148","30","",""
"","","","Sector-25, Chandigarh - CPCC","20-11-2023 12:00:00","30.751462","76.762879","PM2.5","85","168","112","120","PM10"
"","","","","","","","PM10","101","152","120","",""
"","","","","","","","NO2","6","38","16","",""
"","","","","","","","NH3","7","34","16","",""
"","","","","","","","SO2","5","28","10","",""
"","","","","","","","CO","20","104","39","",""
"","","","","","","","OZONE","4","44","5","",""
"","","","Sector-53, Chandigarh - CPCC","20-11-2023 12:00:00","30.719859","76.738637","PM2.5","48","307","132","132","PM2.5"
"","","","","","","","PM10","73","192","124","",""
"","","","","","","","NO2","21","99","57","",""
"","","","","","","","NH3","3","5","4","",""
"","","","","","","","SO2","2","79","13","",""
"","","","","","","","CO","42","130","68","",""
"","","","","","","","OZONE","2","45","7","",""
"","Chhattisgarh","Bhilai","32Bungalows, Bhilai - CECB","20-11-2023 12:00:00","21.194815","81.31477","PM2.5","63","100","82","99","PM10"
"","","","","","","","PM10","69","121","99","",""
"","","","","","","","NO2","15","24","19","",""
"","","","","","","","NH3","6","6","6","",""
"","","","","","","","SO2","10","12","11","",""
"","","","","","","","CO","29","46","36","",""
"","","","","","","","OZONE","4","7","4","",""
"","","","Civic Center, Bhilai - Bhilai Steel Plant","20-11-2023 12:00:00","21.185571","81.343175","PM2.5","28","60","41","49","PM10"
"","","","","","","","PM10","30","76","49","",""
"","","","","","","","NO2","4","7","6","",""
"","","","","","","","NH3","1","2","1","",""
"","","","","","","","SO2","8","17","11","",""
"","","","","","","","CO","27","62","40","",""
"","","","","","","","OZONE","9","47","16","",""
"","","","Hathkhoj, Bhilai - CECB","20-11-2023 12:00:00","21.224231","81.40835","PM2.5","49","148","86","104","PM10"
"","","","","","","","PM10","62","130","104","",""
"","","","","","","","NO2","21","57","38","",""
"","","","","","","","NH3","8","9","8","",""
"","","","","","","","SO2","15","80","43","",""
"","","","","","","","CO","12","36","24","",""
"","","","","","","","OZONE","25","84","37","",""
"","","Bilaspur","Mangala, Bilaspur - NTPC","20-11-2023 12:00:00","22.08815","82.13737","PM2.5","18","48","29","40","PM10"
"","","","","","","","PM10","25","69","40","",""
"","","","","","","","NO2","6","6","6","",""
"","","Chhal","Nawapara SECL Colony, Chhal - CECB","20-11-2023 12:00:00","22.118125","83.140608","PM2.5","18","47","34","62","CO"
"","","","","","","","PM10","25","88","49","",""
"","","","","","","","NO2","6","57","16","",""
"","","","","","","","NH3","2","2","2","",""
"","","","","","","","SO2","6","39","13","",""
"","","","","","","","CO","40","95","62","",""
"","","","","","","","OZONE","5","57","14","",""
"","","Korba","Rampur, Korba - CECB","20-11-2023 12:00:00","22.368195","82.746431","PM2.5","18","53","26","61","PM10"
"","","","","","","","PM10","14","133","61","",""
"","","","","","","","NO2","23","31","27","",""
"","","","","","","","NH3","1","3","2","",""
"","","","","","","","SO2","6","9","8","",""
"","","","","","","","CO","14","26","23","",""
"","","","","","","","OZONE","NA","NA","NA","",""
"","","","Urja Nagar, Korba - CECB","20-11-2023 12:00:00","22.348441","82.549611","PM2.5","9","36","23","61","NO2"
"","","","","","","","PM10","22","87","42","",""
"","","","","","","","NO2","57","65","61","",""
"","","","","","","","NH3","3","5","5","",""
"","","","","","","","SO2","8","13","10","",""
"","","","","","","","CO","20","34","23","",""
"","","","","","","","OZONE","47","50","47","",""
"","","Milupara","Govt. Higher Secondary School, Milupara - CECB","20-11-2023 12:00:00","22.1910172","83.5197009","PM2.5","7","32","18","31","PM10"
"","","","","","","","PM10","11","111","31","",""
"","","","","","","","NO2","7","27","13","",""
"","","","","","","","NH3","1","2","2","",""
"","","","","","","","SO2","7","11","9","",""
"","","","","","","","CO","16","30","20","",""
"","","","","","","","OZONE","9","61","25","",""
"","","Raipur","AIIMS, Raipur - CECB","20-11-2023 12:00:00","21.258815","81.578979","PM2.5","NA","NA","NA","",""
"","","","","","","","PM10","NA","NA","NA","",""
"","","","","","","","NO2","NA","NA","NA","",""
"","","","","","","","SO2","NA","NA","NA","",""
"","","","","","","","CO","NA","NA","NA","",""
"","","","","","","","OZONE","NA","NA","NA","",""
"","","","Bhatagaon New ISBT, Raipur - CECB","20-11-2023 12:00:00","21.219665","81.630094","PM2.5","34","59","43","49","PM10"
"","","","","","","","PM10","31","75","49","",""
"","","","","","","","NO2","38","69","46","",""
"","","","","","","","NH3","1","1","1","",""
"","","","","","","","SO2","3","4","3","",""
"","","","","","","","CO","28","76","37","",""
"","","","","","","","OZONE","3","23","4","",""
"","","","Siltara Phase-II, Raipur - CECB","20-11-2023 12:00:00","21.371751","81.664929","PM2.5","27","53","40","104","PM10"
"","","","","","","","PM10","60","193","104","",""
"","","","","","","","NO2","11","31","24","",""
"","","","","","","","NH3","10","13","12","",""
"","","","","","","","SO2","2","6","3","",""
"","","","","","","","CO","31","59","49","",""
"","","","","","","","OZONE","3","10","3","",""
"","","Tumidih","OP Jindal Industrial Park, Tumidih - CECB","20-11-2023 12:00:00","22.06631475","83.33820077","PM2.5","NA","NA","NA","",""
